dateTime,sedentary_minutes,very_active_minutes,moderately_active_minutes,lightly_active_minutes,Total_Steps,Total_Calories,Total_Distance,overall_score,resting_heart_rate,day,is_weekend,success_steps,deep,wake,light,rem,restless,awake,asleep
2019-10-20,743.0,1.0,16.0,259.0,5749.0,2030.0900000000238,378710.0,81.0,71.11239910125732,Sunday,Y,N,43,44,261,73,,,
2019-10-21,801.0,0.0,0.0,258.0,6405.0,1857.6800000000305,422180.0,80.0,70.69855117797852,Monday,N,N,43,38,221,79,,,
2019-10-22,536.0,15.0,109.0,294.0,8599.0,2525.220000000019,566580.0,81.0,70.42875862121582,Tuesday,N,N,,,,,6,0,90
2019-10-22,536.0,15.0,109.0,294.0,8599.0,2525.220000000019,566580.0,81.0,70.42875862121582,Tuesday,N,N,69,34,205,82,,,
2019-10-23,702.0,0.0,16.0,307.0,7298.0,2086.3900000000303,480860.0,72.0,70.1559419631958,Wednesday,N,N,43,60,269,43,,,
2019-10-24,1035.0,0.0,0.0,9.0,161.0,1323.8400000000133,10590.0,81.0,0.0,Thursday,N,N,54,33,215,94,,,
2019-10-26,757.0,0.0,23.0,199.0,4737.0,1844.4500000000255,312130.0,77.0,72.7639513015747,Saturday,Y,N,64,55,272,70,,,
2019-10-27,649.0,0.0,0.0,355.0,7990.0,2267.1400000000062,526590.0,79.0,73.39154624938965,Sunday,Y,N,80,40,256,60,,,
2019-10-28,665.0,0.0,0.0,333.0,8474.0,2036.6200000000313,558440.0,76.0,74.83377742767334,Monday,N,N,,,,,3,0,63
2019-10-28,665.0,0.0,0.0,333.0,8474.0,2036.6200000000313,558440.0,76.0,74.83377742767334,Monday,N,N,68,39,189,80,,,
2019-10-29,1061.0,0.0,0.0,34.0,553.0,1366.7300000000203,36380.0,80.0,73.75195789337158,Tuesday,N,N,29,29,207,80,,,
2020-01-20,681.0,0.0,0.0,229.0,4587.0,1750.8800000000228,301980.0,75.0,73.45664882659912,Monday,N,N,,,,,4,1,90
2020-01-20,681.0,0.0,0.0,229.0,4587.0,1750.8800000000228,301980.0,75.0,73.45664882659912,Monday,N,N,98,63,209,65,,,
2020-01-21,944.0,0.0,0.0,195.0,4079.0,1696.0000000000275,268630.0,72.0,74.3241195678711,Tuesday,N,N,15,22,168,96,,,
2020-01-22,657.0,2.0,16.0,263.0,7127.0,1938.7700000000225,469710.0,76.0,72.81769466400146,Wednesday,N,N,,,,,1,0,119
2020-01-22,657.0,2.0,16.0,263.0,7127.0,1938.7700000000225,469710.0,76.0,72.81769466400146,Wednesday,N,N,55,42,224,61,,,
2020-01-23,717.0,0.0,0.0,341.0,8254.0,2029.7200000000253,543900.0,72.0,73.22740077972412,Thursday,N,N,37,41,244,60,,,
2020-01-24,615.0,1.0,9.0,358.0,10947.0,2201.110000000005,721740.0,82.0,72.7585802078247,Friday,N,Y,36,42,293,86,,,
2020-01-26,578.0,10.0,74.0,228.0,15100.0,2263.559999999995,996570.0,84.0,73.79072952270508,Sunday,Y,Y,102,58,282,108,,,
2020-01-27,641.0,16.0,30.0,293.0,10981.0,2218.4299999999935,724160.0,73.0,74.34472751617432,Monday,N,Y,93,78,222,67,,,
2020-01-28,679.0,0.0,0.0,305.0,6807.0,1932.0500000000195,451240.0,73.0,74.31203746795654,Tuesday,N,N,,,,,9,0,68
2020-01-28,679.0,0.0,0.0,305.0,6807.0,1932.0500000000195,451240.0,73.0,74.31203746795654,Tuesday,N,N,76,48,165,90,,,
2020-01-29,779.0,0.0,0.0,287.0,6431.0,1938.2900000000254,423710.0,75.0,74.15300369262695,Wednesday,N,N,33,29,208,104,,,
2020-01-30,746.0,0.0,0.0,261.0,5743.0,1872.9800000000214,378280.0,72.0,74.1314115524292,Thursday,N,N,77,64,229,63,,,
2020-01-31,609.0,2.0,29.0,397.0,10908.0,2327.9800000000073,718890.0,78.0,75.7467393875122,Friday,N,Y,71,31,224,77,,,
2020-02-01,596.0,9.0,36.0,266.0,8286.0,2080.500000000021,548710.0,81.0,76.08001041412354,Saturday,Y,N,86,62,302,83,,,
2020-02-02,406.0,2.0,27.0,387.0,10956.0,2290.7300000000155,722210.0,82.0,75.71130084991455,Sunday,Y,Y,,,,,1,2,82
2020-02-02,406.0,2.0,27.0,387.0,10956.0,2290.7300000000155,722210.0,82.0,75.71130084991455,Sunday,Y,Y,32,79,328,94,,,
2020-02-05,953.0,0.0,0.0,79.0,1948.0,1464.3500000000367,128370.0,80.0,76.14165592193604,Wednesday,N,N,61,45,236,66,,,
2019-10-01,599.0,0.0,16.0,239.0,5730.0,1920.91000000002,377450.0,80.0,69.84400272369385,Tuesday,N,N,104,77,328,77,,,
2019-10-02,804.0,0.0,0.0,234.0,5197.0,1827.7600000000314,342320.0,74.0,69.87332057952881,Wednesday,N,N,24,42,266,70,,,
2019-10-03,992.0,0.0,0.0,4.0,82.0,1305.7600000000107,5410.0,71.0,0.0,Thursday,N,N,52,64,268,60,,,
2019-10-05,571.0,8.0,19.0,380.0,8712.0,2255.470000000014,574030.0,70.0,71.55844020843506,Saturday,Y,N,,,,,11,0,107
2019-10-05,571.0,8.0,19.0,380.0,8712.0,2255.470000000014,574030.0,70.0,71.55844020843506,Saturday,Y,N,59,36,184,65,,,
2019-10-06,658.0,2.0,10.0,233.0,6202.0,1890.9500000000235,408830.0,79.0,72.61785697937012,Sunday,Y,N,47,66,312,112,,,
2019-10-07,815.0,2.0,8.0,257.0,5187.0,1966.5500000000259,341480.0,69.0,74.73617172241211,Monday,N,N,64,43,217,34,,,
2020-02-21,633.0,0.0,0.0,330.0,6010.0,1951.050000000014,395640.0,75.0,73.19516849517822,Friday,N,N,,,,,2,0,58
2020-02-21,633.0,0.0,0.0,330.0,6010.0,1951.050000000014,395640.0,75.0,73.19516849517822,Friday,N,N,67,32,245,73,,,
2020-02-22,707.0,0.0,0.0,208.0,5854.0,1776.2200000000303,385920.0,69.0,73.34514427185059,Saturday,Y,N,,,,,2,0,79
2020-02-22,707.0,0.0,0.0,208.0,5854.0,1776.2200000000303,385920.0,69.0,73.34514427185059,Saturday,Y,N,72,61,257,54,,,
2020-02-23,785.0,0.0,0.0,190.0,4432.0,1739.7900000000311,292070.0,77.0,74.21386241912842,Sunday,Y,N,68,46,283,68,,,
2020-02-25,702.0,0.0,0.0,336.0,7648.0,2031.1900000000248,503910.0,80.0,75.98742961883545,Tuesday,N,N,79,42,187,94,,,
2020-02-26,661.0,0.0,17.0,395.0,10282.0,2233.280000000007,677540.0,77.0,76.1767988204956,Wednesday,N,Y,69,29,157,112,,,
2020-02-27,649.0,0.0,8.0,355.0,10657.0,2171.600000000022,702630.0,81.0,76.23047542572021,Thursday,N,Y,75,34,224,95,,,
2020-02-28,495.0,5.0,5.0,413.0,11419.0,2265.430000000011,752710.0,78.0,76.89367389678955,Friday,N,Y,68,71,271,112,,,
2020-02-29,684.0,0.0,13.0,263.0,6235.0,1913.290000000011,410720.0,82.0,76.09426212310791,Saturday,Y,N,81,63,249,87,,,
2020-03-01,692.0,6.0,27.0,327.0,9621.0,2199.1800000000085,634200.0,79.0,75.90612983703613,Sunday,Y,N,73,39,187,89,,,
2020-03-02,786.0,0.0,19.0,223.0,7399.0,1951.7500000000462,487920.0,51.0,77.0391845703125,Monday,N,N,59,95,175,83,,,
2019-08-17,661.0,0.0,33.0,232.0,7632.0,2076.5600000000068,503200.0,84.0,72.45239543914795,Saturday,Y,N,120,48,253,93,,,
2020-06-05,444.0,2.0,55.0,449.0,13551.0,2565.499999999984,893210.0,81.0,66.00409126281738,Friday,N,Y,74,47,274,95,,,
2020-06-06,477.0,2.0,27.0,496.0,13950.0,2510.749999999996,919440.0,78.0,66.59318923950195,Saturday,Y,Y,99,59,186,94,,,
2020-06-07,660.0,3.0,9.0,375.0,10103.0,2219.8800000000033,665880.0,72.0,66.82655906677246,Sunday,Y,Y,52,49,217,75,,,
2020-06-08,622.0,7.0,26.0,304.0,8837.0,2157.6200000000076,582470.0,78.0,66.80235481262207,Monday,N,N,42,50,280,109,,,
2020-06-09,639.0,0.0,0.0,344.0,8151.0,2058.770000000018,537030.0,78.0,67.17437362670898,Tuesday,N,N,46,39,293,79,,,
2020-07-29,159.0,0.0,0.0,115.0,2508.0,875.0899999999945,165050.0,76.0,68.8269681930542,Wednesday,N,N,47,59,201,83,,,
2020-04-19,731.0,0.0,0.0,315.0,7304.0,1970.620000000027,481190.0,77.0,69.88010501861572,Sunday,Y,N,83,36,179,96,,,
2020-04-20,737.0,12.0,12.0,211.0,7025.0,1921.1100000000324,468320.0,82.0,69.70665836334229,Monday,N,N,65,51,252,100,,,
2020-04-21,653.0,0.0,0.0,216.0,5195.0,1772.1700000000274,342380.0,82.0,69.7634687423706,Tuesday,N,N,,,,,4,0,67
2020-04-21,653.0,0.0,0.0,216.0,5195.0,1772.1700000000274,342380.0,82.0,69.7634687423706,Tuesday,N,N,51,71,264,114,,,
2020-04-22,694.0,0.0,0.0,223.0,5040.0,1781.6300000000324,331970.0,75.0,70.00019073486328,Wednesday,N,N,,,,,7,2,104
2020-04-22,694.0,0.0,0.0,223.0,5040.0,1781.6300000000324,331970.0,75.0,70.00019073486328,Wednesday,N,N,29,49,264,68,,,
2020-04-23,718.0,0.0,10.0,309.0,6492.0,1977.7300000000293,427510.0,79.0,70.76720714569092,Thursday,N,N,65,43,193,102,,,
2020-04-24,557.0,2.0,22.0,377.0,9180.0,2260.700000000015,604840.0,78.0,71.38778591156006,Friday,N,N,65,64,269,84,,,
2020-04-25,593.0,4.0,22.0,293.0,5862.0,2052.5100000000225,385960.0,75.0,71.07217597961426,Saturday,Y,N,63,96,300,69,,,
2020-04-26,575.0,0.0,0.0,263.0,6285.0,1896.0600000000106,414210.0,81.0,70.46378898620605,Sunday,Y,N,62,78,395,67,,,
2020-04-27,637.0,0.0,0.0,357.0,8551.0,2109.750000000013,563450.0,81.0,70.78187274932861,Monday,N,N,61,45,260,80,,,
