dateTime,sedentary_minutes,very_active_minutes,moderately_active_minutes,lightly_active_minutes,Total_Steps,Total_Calories,Total_Distance,overall_score,resting_heart_rate,day,is_weekend,success_steps,deep,wake,light,rem,restless,awake,asleep
2020-05-27,801.0,10.0,8.0,175.0,5604.0,2387.6300000000056,472130.0,77.0,60.381351470947266,Wednesday,N,N,117,51,217,61,,,
2020-05-28,622.0,29.0,21.0,272.0,10072.0,2949.080000000016,710300.0,80.0,59.37025165557861,Thursday,N,Y,115,66,268,47,,,
2020-05-29,763.0,0.0,0.0,196.0,5138.0,2348.200000000002,380510.0,74.0,59.87948799133301,Friday,N,N,115,75,226,65,,,
2020-05-30,741.0,65.0,6.0,178.0,10473.0,2732.7600000000084,776330.0,74.0,59.590867042541504,Saturday,Y,Y,91,60,250,49,,,
2020-05-31,811.0,1.0,9.0,162.0,4463.0,2235.470000000017,324050.0,74.0,59.851046562194824,Sunday,Y,N,110,73,223,51,,,
2020-06-01,657.0,0.0,0.0,268.0,6990.0,2540.9700000000034,517720.0,85.0,59.134071350097656,Monday,N,N,139,74,214,88,,,
2020-06-02,715.0,0.0,0.0,235.0,4883.0,2412.55,361510.0,82.0,59.18582344055176,Tuesday,N,N,132,64,247,47,,,
2020-06-03,767.0,0.0,0.0,178.0,2924.0,2262.650000000005,211740.0,81.0,58.3402099609375,Wednesday,N,N,140,63,253,39,,,
2020-06-04,754.0,0.0,0.0,198.0,4211.0,2340.3800000000056,311710.0,83.0,57.534544944763184,Thursday,N,N,136,50,237,65,,,
2020-06-05,668.0,21.0,12.0,238.0,7751.0,2573.090000000008,574190.0,82.0,57.56768608093262,Friday,N,N,115,57,265,64,,,
2020-06-06,525.0,30.0,21.0,368.0,10676.0,3260.3100000000045,790750.0,77.0,58.19758892059326,Saturday,Y,Y,92,68,265,71,,,
2020-06-07,614.0,46.0,61.0,298.0,14531.0,3285.960000000011,1076940.0,80.0,58.687684059143066,Sunday,Y,Y,95,38,202,86,,,
2020-06-08,655.0,8.0,21.0,250.0,7991.0,2707.8400000000042,592040.0,80.0,59.4753475189209,Monday,N,N,136,72,240,58,,,
2020-06-09,740.0,0.0,0.0,256.0,6193.0,2487.420000000007,458620.0,73.0,59.86183166503906,Tuesday,N,N,80,57,254,53,,,
2020-06-10,714.0,0.0,0.0,201.0,4540.0,2317.390000000001,336240.0,79.0,59.59053897857666,Wednesday,N,N,129,71,243,82,,,
2020-06-11,755.0,0.0,0.0,205.0,4662.0,2315.1600000000035,339990.0,74.0,58.552557945251465,Thursday,N,N,113,75,238,54,,,
2020-06-12,707.0,1.0,14.0,271.0,10072.0,2603.3200000000024,739840.0,75.0,58.59383010864258,Friday,N,Y,83,65,246,53,,,
2020-06-13,745.0,10.0,14.0,255.0,6805.0,2642.260000000026,504220.0,74.0,58.427348136901855,Saturday,Y,N,99,51,205,61,,,
2020-06-14,410.0,26.0,25.0,410.0,15443.0,3310.6100000000015,1144370.0,83.0,58.46909141540527,Sunday,Y,Y,119,71,314,65,,,
2020-06-15,632.0,31.0,32.0,338.0,12387.0,3194.8600000000106,918020.0,65.0,60.91236591339111,Monday,N,Y,101,58,197,51,,,
2020-06-16,621.0,12.0,32.0,282.0,8438.0,2968.3800000000124,607030.0,83.0,59.987616539001465,Tuesday,N,N,107,56,242,88,,,
2020-06-17,633.0,2.0,26.0,298.0,8343.0,2769.730000000025,618070.0,77.0,60.035630226135254,Wednesday,N,N,131,65,201,84,,,
2020-06-18,687.0,7.0,4.0,252.0,6576.0,2449.550000000013,486930.0,83.0,59.531928062438965,Thursday,N,N,97,51,265,77,,,
2020-06-19,752.0,21.0,30.0,204.0,6584.0,2660.820000000016,487800.0,78.0,58.23983287811279,Friday,N,N,75,53,235,70,,,
2020-06-20,697.0,21.0,57.0,287.0,16125.0,3046.920000000016,1195020.0,64.0,60.622074127197266,Saturday,Y,Y,89,48,209,32,,,
2020-06-21,654.0,27.0,40.0,331.0,13876.0,3260.670000000011,1028690.0,76.0,61.207815170288086,Sunday,Y,Y,90,37,209,52,,,
2020-06-22,625.0,3.0,23.0,223.0,5909.0,2488.490000000008,437590.0,87.0,62.01933479309082,Monday,N,N,157,73,229,107,,,
