dateTime,sedentary_minutes,very_active_minutes,moderately_active_minutes,lightly_active_minutes,Total_Steps,Total_Calories,Total_Distance,overall_score,resting_heart_rate,day,is_weekend,success_steps,deep,wake,light,rem,restless,awake,asleep
2020-01-23,805.0,41.0,7.0,143.0,8673.0,1826.390000000031,658170.0,72.0,70.10211944580078,Thursday,N,N,52,58,246,88,,,
2020-01-23,805.0,41.0,7.0,143.0,8673.0,1826.390000000031,658170.0,72.0,70.10211944580078,Thursday,N,N,52,58,246,88,,,
2020-01-24,745.0,37.0,21.0,184.0,10753.0,1965.7000000000376,785860.0,82.0,67.67458724975586,Friday,N,Y,57,40,236,120,,,
2020-01-25,741.0,11.0,33.0,247.0,11143.0,2052.150000000063,774050.0,71.0,68.72051620483398,Saturday,Y,Y,55,42,209,102,,,
2020-01-26,707.0,41.0,40.0,265.0,11120.0,2214.4800000000437,746090.0,68.0,69.24752044677734,Sunday,Y,Y,22,47,245,73,,,
2020-01-27,845.0,29.0,12.0,130.0,8100.0,1768.600000000046,579870.0,79.0,67.64830017089844,Monday,N,N,60,39,242,83,,,
2020-01-29,779.0,49.0,11.0,168.0,10618.0,1947.7200000000246,788100.0,81.0,65.21017837524414,Wednesday,N,Y,57,39,231,106,,,
2020-01-30,924.0,41.0,20.0,127.0,7296.0,1800.690000000045,565290.0,74.0,64.86420917510986,Thursday,N,N,49,29,160,90,,,
2020-02-01,816.0,36.0,11.0,122.0,7231.0,1756.4000000000203,559920.0,72.0,66.07283687591553,Saturday,Y,N,68,52,222,113,,,
2020-02-02,830.0,26.0,16.0,143.0,7005.0,1813.1500000000449,492210.0,77.0,66.18696880340576,Sunday,Y,N,54,41,232,98,,,
2020-02-05,940.0,36.0,23.0,87.0,7737.0,1714.6900000000282,573390.0,68.0,64.22119998931885,Wednesday,N,N,48,54,196,56,,,
2020-02-06,673.0,94.0,30.0,305.0,20628.0,2567.4100000000126,1475080.0,72.0,63.43933963775635,Thursday,N,Y,76,39,161,62,,,
2020-02-07,799.0,18.0,5.0,219.0,8940.0,1877.2100000000228,628630.0,71.0,63.606263160705566,Friday,N,N,39,54,232,74,,,
2020-02-08,667.0,104.0,34.0,252.0,18155.0,2573.520000000028,1325300.0,60.0,66.28060817718506,Saturday,Y,Y,34,58,222,69,,,
2020-02-09,641.0,25.0,5.0,227.0,9976.0,1961.7300000000228,729940.0,86.0,64.44032669067383,Sunday,Y,N,63,46,304,129,,,
2020-02-11,650.0,42.0,40.0,357.0,27649.0,2627.480000000012,1953770.0,75.0,63.845458984375,Tuesday,N,Y,46,27,212,66,,,
2020-02-12,595.0,43.0,48.0,298.0,23702.0,2444.820000000016,1657700.0,73.0,66.30527782440186,Wednesday,N,Y,72,42,237,105,,,
2020-02-15,688.0,17.0,17.0,237.0,9382.0,1977.5400000000216,672080.0,77.0,68.41206550598145,Saturday,Y,N,87,52,229,113,,,
2020-02-16,683.0,34.0,14.0,219.0,11370.0,2036.220000000028,852000.0,72.0,68.89220428466797,Sunday,Y,Y,80,74,233,103,,,
2020-02-19,877.0,37.0,6.0,70.0,6181.0,1657.7600000000202,491440.0,74.0,66.83934116363525,Wednesday,N,N,97,60,217,76,,,
2020-02-20,639.0,51.0,12.0,261.0,14609.0,2242.820000000012,1164200.0,82.0,65.17108821868896,Thursday,N,Y,65,50,233,129,,,
2020-02-21,772.0,8.0,4.0,243.0,8782.0,1910.9100000000215,624140.0,70.0,67.52762985229492,Friday,N,N,69,43,190,111,,,
2020-02-22,590.0,81.0,48.0,322.0,11964.0,2761.7100000000587,823080.0,62.0,69.61770820617676,Saturday,Y,Y,38,58,227,76,,,
2020-02-22,590.0,81.0,48.0,322.0,11964.0,2761.7100000000587,823080.0,62.0,69.61770820617676,Saturday,Y,Y,38,58,227,76,,,
2020-02-23,645.0,6.0,4.0,162.0,6671.0,1750.5300000000213,459770.0,83.0,67.96707057952881,Sunday,Y,N,93,78,325,127,,,
2020-02-24,779.0,24.0,22.0,162.0,9525.0,1863.1900000000346,672680.0,72.0,68.17056560516357,Monday,N,N,91,64,175,123,,,
2020-02-25,812.0,42.0,5.0,108.0,7513.0,1747.5700000000215,628950.0,81.0,66.0047960281372,Tuesday,N,N,76,53,255,89,,,
2020-02-26,654.0,49.0,14.0,214.0,12297.0,2065.9700000000175,871230.0,82.0,64.34051704406738,Wednesday,N,Y,96,71,234,108,,,
2020-02-28,685.0,35.0,40.0,223.0,13634.0,2105.770000000051,935380.0,69.0,65.97963905334473,Friday,N,Y,34,24,188,63,,,
2020-02-28,685.0,35.0,40.0,223.0,13634.0,2105.770000000051,935380.0,69.0,65.97963905334473,Friday,N,Y,,,,,2,1,145
2020-02-29,570.0,29.0,33.0,385.0,19403.0,2547.6500000000215,1380120.0,73.0,65.39262866973877,Saturday,Y,Y,93,56,178,96,,,
2020-03-01,651.0,16.0,45.0,262.0,14480.0,2226.690000000025,981310.0,77.0,67.17945194244385,Sunday,Y,Y,81,33,220,132,,,
2020-03-02,781.0,75.0,16.0,185.0,15399.0,2168.080000000013,1251320.0,73.0,68.49516773223877,Monday,N,Y,75,35,160,113,,,
2020-03-03,793.0,46.0,19.0,124.0,9757.0,1912.4800000000312,752740.0,77.0,68.82867527008057,Tuesday,N,N,82,44,197,135,,,
2020-03-04,711.0,0.0,0.0,242.0,8699.0,1936.9400000000278,635240.0,82.0,67.29638671875,Wednesday,N,N,98,61,215,113,,,
2020-03-05,887.0,42.0,23.0,103.0,6843.0,1789.6100000000554,532140.0,64.0,66.78967475891113,Thursday,N,N,67,68,204,46,,,
